Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,,Available,,,,,,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PC00,GPIO_PC00,GPIO,Digital,In/Out,Low,,,NORMAL
4,PC01,GPIO_PC01,GPIO,Digital,In/Out,Low,,,NORMAL
7,PC02,GPIO_PC02,GPIO,Digital,In/Out,Low,,,NORMAL
8,PC03,GPIO_PC03,GPIO,Digital,In/Out,Low,,,NORMAL
9,PA02,GPIO_PA02,GPIO,Digital,In/Out,Low,,,NORMAL
10,PA03,GPIO_PA03,GPIO,Digital,In/Out,Low,,,NORMAL
11,PB04,GPIO_PB04,GPIO,Digital,In/Out,Low,,,NORMAL
12,PB05,GPIO_PB05,GPIO,Digital,In/Out,Low,,,NORMAL
13,PD00,GPIO_PD00,GPIO,Digital,In/Out,Low,,,NORMAL
16,PD01,GPIO_PD01,GPIO,Digital,In/Out,Low,,,NORMAL
17,PB06,GPIO_PB06,GPIO,Digital,In/Out,Low,,,NORMAL
18,PB07,GPIO_PB07,GPIO,Digital,In/Out,Low,,,NORMAL
19,PB08,GPIO_PB08,GPIO,Digital,In/Out,Low,,,NORMAL
20,PB09,GPIO_PB09,GPIO,Digital,In/Out,Low,,,NORMAL
21,PA04,GPIO_PA04,GPIO,Digital,In/Out,Low,,,NORMAL
22,PA05,GPIO_PA05,GPIO,Digital,In/Out,Low,,,NORMAL
23,PA06,,EIC_EXTINT6,Digital,High Impedance,n/a,No,No,NORMAL
24,PA07,GPIO_PA07,GPIO,Digital,In/Out,Low,,,NORMAL
27,PC04,GPIO_PC04,GPIO,Digital,In/Out,Low,,,NORMAL
28,PC05,GPIO_PC05,GPIO,Digital,In/Out,Low,,,NORMAL
29,PC06,GPIO_PC06,GPIO,Digital,In/Out,Low,,,NORMAL
30,PC07,GPIO_PC07,GPIO,Digital,In/Out,Low,,,NORMAL
33,PA08,GPIO_PA08,GPIO,Digital,In/Out,Low,,,NORMAL
34,PA09,GPIO_PA09,GPIO,Digital,In/Out,Low,,,NORMAL
35,PA10,GPIO_PA10,GPIO,Digital,In/Out,Low,,,NORMAL
36,PA11,GPIO_PA11,GPIO,Digital,In/Out,Low,,,NORMAL
39,PB10,GPIO_PB10,GPIO,Digital,In/Out,Low,,,NORMAL
40,PB11,GPIO_PB11,GPIO,Digital,In/Out,Low,,,NORMAL
41,PB12,GPIO_PB12,GPIO,Digital,In/Out,Low,,,NORMAL
42,PB13,GPIO_PB13,GPIO,Digital,In/Out,Low,,,NORMAL
43,PB14,GPIO_PB14,GPIO,Digital,In/Out,Low,,,NORMAL
44,PB15,GPIO_PB15,GPIO,Digital,In/Out,Low,,,NORMAL
47,PD08,GPIO_PD08,GPIO,Digital,In/Out,Low,,,NORMAL
48,PD09,GPIO_PD09,GPIO,Digital,In/Out,Low,,,NORMAL
49,PD10,GPIO_PD10,GPIO,Digital,In/Out,Low,,,NORMAL
50,PD11,GPIO_PD11,GPIO,Digital,In/Out,Low,,,NORMAL
51,PD12,,Available,,,,,,NORMAL
52,PC10,GPIO_PC10,GPIO,Digital,In/Out,Low,,,NORMAL
55,PC11,,GMAC_GMDC,Digital,High Impedance,n/a,No,No,NORMAL
56,PC12,,GMAC_GMDIO,Digital,High Impedance,n/a,No,No,NORMAL
57,PC13,GPIO_PC13,GPIO,Digital,In/Out,Low,,,NORMAL
58,PC14,GPIO_PC14,GPIO,Digital,In/Out,Low,,,NORMAL
59,PC15,GPIO_PC15,GPIO,Digital,In/Out,Low,,,NORMAL
60,PA12,,GMAC_GRX1,Digital,High Impedance,n/a,No,No,NORMAL
61,PA13,,GMAC_GRX0,Digital,High Impedance,n/a,No,No,NORMAL
62,PA14,,GMAC_GTXCK,Digital,High Impedance,n/a,No,No,NORMAL
63,PA15,,GMAC_GRXER,Digital,High Impedance,n/a,No,No,NORMAL
66,PA16,GPIO_PA16,GPIO,Digital,In/Out,Low,,,NORMAL
67,PA17,,GMAC_GTXEN,Digital,High Impedance,n/a,No,No,NORMAL
68,PA18,,GMAC_GTX0,Digital,High Impedance,n/a,No,No,NORMAL
69,PA19,,GMAC_GTX1,Digital,High Impedance,n/a,No,No,NORMAL
70,PC16,GPIO_PC16,GPIO,Digital,In/Out,Low,,,NORMAL
71,PC17,GPIO_PC17,GPIO,Digital,In/Out,Low,,,NORMAL
72,PC18,GPIO_PC18,GPIO,Digital,In/Out,High,,,NORMAL
73,PC19,GPIO_PC19,GPIO,Digital,In/Out,Low,,,NORMAL
74,PC20,,GMAC_GRXDV,Digital,High Impedance,n/a,No,No,NORMAL
75,PC21,,Available,,,,,,NORMAL
76,PC22,GPIO_PC22,GPIO,Digital,In/Out,Low,,,NORMAL
77,PC23,GPIO_PC23,GPIO,Digital,In/Out,Low,,,NORMAL
80,PD20,GPIO_PD20,GPIO,Digital,In/Out,Low,,,NORMAL
81,PD21,GPIO_PD21,GPIO,Digital,In/Out,Low,,,NORMAL
82,PB16,GPIO_PB16,GPIO,Digital,In/Out,Low,,,NORMAL
83,PB17,GPIO_PB17,GPIO,Digital,In/Out,Low,,,NORMAL
84,PB18,GPIO_PB18,GPIO,Digital,In/Out,Low,,,NORMAL
85,PB19,GPIO_PB19,GPIO,Digital,In/Out,Low,,,NORMAL
86,PB20,GPIO_PB20,GPIO,Digital,In/Out,Low,,,NORMAL
